x,y,t,type,id
318,232,1435968807798,c,472
453,267,1435968808023,c,472
292,234,1435968812101,c,472
365,0,1435968807638,m,472
373,23,1435968807645,m,472
373,50,1435968807653,m,472
373,79,1435968807661,m,472
368,103,1435968807669,m,472
361,128,1435968807677,m,472
353,148,1435968807685,m,472
346,169,1435968807693,m,472
340,188,1435968807701,m,472
334,204,1435968807709,m,472
328,217,1435968807718,m,472
323,228,1435968807725,m,472
318,232,1435968807733,m,472
320,232,1435968807813,m,472
323,232,1435968807822,m,472
331,233,1435968807829,m,472
342,236,1435968807837,m,472
354,238,1435968807845,m,472
367,241,1435968807853,m,472
381,245,1435968807861,m,472
395,249,1435968807869,m,472
411,253,1435968807877,m,472
427,258,1435968807885,m,472
443,262,1435968807893,m,472
453,266,1435968807901,m,472
463,268,1435968807909,m,472
468,269,1435968807917,m,472
469,269,1435968807925,m,472
469,270,1435968807933,m,472
469,271,1435968807957,m,472
468,271,1435968807965,m,472
467,271,1435968807973,m,472
464,271,1435968807981,m,472
461,270,1435968807989,m,472
460,269,1435968807997,m,472
458,268,1435968808005,m,472
455,268,1435968808013,m,472
453,267,1435968808021,m,472
450,266,1435968808029,m,472
448,265,1435968808036,m,472
445,264,1435968808044,m,472
442,264,1435968808052,m,472
440,263,1435968808061,m,472
439,263,1435968808069,m,472
439,263,1435968808101,m,472
440,261,1435968808109,m,472
442,259,1435968808117,m,472
444,256,1435968808126,m,472
450,251,1435968808133,m,472
457,248,1435968808141,m,472
463,244,1435968808149,m,472
469,241,1435968808157,m,472
476,239,1435968808164,m,472
482,238,1435968808173,m,472
488,238,1435968808181,m,472
493,238,1435968808189,m,472
495,238,1435968808197,m,472
473,240,1435968808486,m,472
453,240,1435968808493,m,472
427,240,1435968808501,m,472
398,240,1435968808509,m,472
370,240,1435968808517,m,472
344,240,1435968808525,m,472
322,240,1435968808533,m,472
306,238,1435968808541,m,472
297,235,1435968808550,m,472
293,235,1435968808557,m,472
293,234,1435968808565,m,472
292,234,1435968808573,m,472
578,203,1435968814206,c,472
508,208,1435968814493,c,472
473,232,1435968815470,c,472
293,234,1435968812509,m,472
293,236,1435968812517,m,472
295,237,1435968812525,m,472
295,238,1435968812541,m,472
296,238,1435968812557,m,472
297,238,1435968812573,m,472
298,239,1435968812581,m,472
298,240,1435968812589,m,472
298,242,1435968812597,m,472
298,243,1435968812605,m,472
300,245,1435968812613,m,472
300,246,1435968812621,m,472
302,247,1435968812629,m,472
303,248,1435968812645,m,472
303,248,1435968813237,m,472
303,248,1435968813901,m,472
307,248,1435968813909,m,472
313,248,1435968813917,m,472
322,249,1435968813925,m,472
330,251,1435968813933,m,472
337,251,1435968813941,m,472
343,251,1435968813949,m,472
349,249,1435968813958,m,472
358,249,1435968813965,m,472
370,249,1435968813973,m,472
386,251,1435968813981,m,472
402,253,1435968813990,m,472
416,255,1435968813997,m,472
432,255,1435968814005,m,472
448,253,1435968814013,m,472
465,251,1435968814021,m,472
483,247,1435968814029,m,472
505,241,1435968814037,m,472
526,233,1435968814045,m,472
547,226,1435968814053,m,472
564,218,1435968814061,m,472
578,213,1435968814069,m,472
584,208,1435968814077,m,472
584,207,1435968814109,m,472
583,207,1435968814173,m,472
583,206,1435968814189,m,472
581,204,1435968814204,m,472
578,203,1435968814205,m,472
575,203,1435968814221,m,472
574,203,1435968814229,m,472
571,203,1435968814237,m,472
568,203,1435968814245,m,472
563,204,1435968814253,m,472
556,206,1435968814261,m,472
548,206,1435968814269,m,472
541,206,1435968814277,m,472
534,206,1435968814285,m,472
528,206,1435968814293,m,472
523,207,1435968814301,m,472
518,207,1435968814309,m,472
513,207,1435968814317,m,472
510,208,1435968814347,m,472
508,208,1435968814357,m,472
508,210,1435968814533,m,472
507,211,1435968814542,m,472
507,212,1435968814550,m,472
507,213,1435968814589,m,472
507,213,1435968814597,m,472
507,214,1435968814605,m,472
507,216,1435968814621,m,472
507,218,1435968814629,m,472
506,218,1435968814645,m,472
506,219,1435968814661,m,472
505,220,1435968814669,m,472
504,220,1435968814677,m,472
503,221,1435968814685,m,472
503,223,1435968814693,m,472
502,223,1435968814701,m,472
500,223,1435968814709,m,472
498,224,1435968814717,m,472
498,224,1435968814725,m,472
496,225,1435968814733,m,472
494,225,1435968814741,m,472
493,226,1435968814750,m,472
491,227,1435968814757,m,472
488,228,1435968814765,m,472
486,228,1435968814773,m,472
483,229,1435968814782,m,472
481,230,1435968814789,m,472
478,231,1435968814797,m,472
476,231,1435968814805,m,472
474,232,1435968814813,m,472
473,232,1435968814821,m,472
473,232,1435968814837,m,472
473,233,1435968814861,m,472
473,233,1435968814901,m,472
473,232,1435968814957,m,472
473,232,1435968815093,m,472
472,232,1435968815533,m,472
468,232,1435968815541,m,472
463,232,1435968815552,m,472
459,231,1435968815557,m,472
453,229,1435968815565,m,472
447,228,1435968815573,m,472
440,225,1435968815582,m,472
431,223,1435968815589,m,472
