x,y,t,type,id
739,7,1436206014319,m,717
695,22,1436206014328,m,717
618,60,1436206014348,m,717
589,81,1436206014359,m,717
564,96,1436206014369,m,717
548,107,1436206014380,m,717
536,123,1436206014389,m,717
534,140,1436206014399,m,717
531,158,1436206014409,m,717
529,158,1436206015434,m,717
528,158,1436206015455,m,717
527,158,1436206015464,m,717
527,160,1436206015475,m,717
526,158,1436206015505,m,717
526,159,1436206015514,m,717
526,159,1436206015526,m,717
526,159,1436206015535,m,717
526,160,1436206015545,m,717
526,160,1436206015555,m,717
525,160,1436206015565,m,717
524,161,1436206015576,m,717
524,161,1436206015586,m,717
523,161,1436206015616,m,717
523,161,1436206015677,m,717
523,161,1436206015708,m,717
524,161,1436206015717,m,717
525,161,1436206015727,m,717
526,161,1436206015738,m,717
528,162,1436206015748,m,717
530,162,1436206015758,m,717
530,163,1436206015768,m,717
533,164,1436206015778,m,717
535,164,1436206015788,m,717
539,164,1436206015798,m,717
541,164,1436206015809,m,717
545,164,1436206015819,m,717
552,166,1436206015829,m,717
556,166,1436206015839,m,717
562,166,1436206015849,m,717
566,166,1436206015860,m,717
570,165,1436206015869,m,717
574,164,1436206015880,m,717
578,164,1436206015890,m,717
580,162,1436206015900,m,717
583,162,1436206015910,m,717
583,162,1436206015920,m,717
583,162,1436206015930,m,717
583,162,1436206015941,m,717
583,163,1436206015962,m,717
583,163,1436206015992,m,717
583,164,1436206016001,m,717
583,164,1436206016012,m,717
580,168,1436206016022,m,717
580,171,1436206016032,m,717
580,175,1436206016042,m,717
580,178,1436206016052,m,717
576,181,1436206016063,m,717
576,183,1436206016073,m,717
576,185,1436206016083,m,717
576,186,1436206016093,m,717
576,190,1436206016103,m,717
576,193,1436206016114,m,717
575,199,1436206016124,m,717
574,199,1436206016133,m,717
573,201,1436206016143,m,717
573,203,1436206016153,m,717
572,205,1436206016163,m,717
572,205,1436206016169,m,717
569,212,1436206016183,m,717
569,215,1436206016194,m,717
568,218,1436206016204,m,717
567,220,1436206016214,m,717
567,222,1436206016224,m,717
566,223,1436206016234,m,717
565,223,1436206016245,m,717
565,225,1436206016255,m,717
563,226,1436206016264,m,717
562,229,1436206016275,m,717
562,229,1436206016288,m,717
562,230,1436206016296,m,717
561,231,1436206016305,m,717
561,233,1436206016315,m,717
561,233,1436206016326,m,717
561,234,1436206016335,m,717
561,235,1436206016347,m,717
561,236,1436206016357,m,717
561,237,1436206016366,m,717
561,239,1436206016377,m,717
561,240,1436206016386,m,717
563,240,1436206016397,m,717
563,240,1436206016407,m,717
564,240,1436206016417,m,717
566,242,1436206016427,m,717
